"","Age","SES1","SES2","threshold","minincome","maxincome","adj_inc","INR"
"833",30,3,"$130,000-$139,999",12486,130000,140000,135000,10.8121095627102
"834",23,1,"$100,000 - $109,999",16072,1e+05,110000,105000,6.53310104529617
"835",69,6,"$120,000-$129,999",29854,120000,130000,125000,4.18704361224627
"836",35,3,"$100,000 - $109,999",24755,1e+05,110000,105000,4.24156736012927
"838",54,3,"$250,000-$299,999",12486,250000,3e+05,275000,22.0246676277431
"839",40,4,"$200,000-$249,999",16072,2e+05,250000,225000,13.9995022399204
"840",45,2,"$120,000-$129,999",12486,120000,130000,125000,10.011212558065
"841",52,2,"$190,000-$199,999",12486,190000,2e+05,195000,15.6174915905815
"842",58,2,"$180,000-$189,999",29854,180000,190000,185000,6.19682454612447
"843",19,3,"$150,000-$159,999",16072,150000,160000,155000,9.64410154305625
"844",63,2,"$150,000-$159,999",16072,150000,160000,155000,9.64410154305625
"845",23,4,"$200,000-$249,999",12486,2e+05,250000,225000,18.0201826045171
"846",52,2,"$200,000-$249,999",16072,2e+05,250000,225000,13.9995022399204
"847",29,7,"$190,000-$199,999",12486,190000,2e+05,195000,15.6174915905815
"848",38,4,"$150,000-$159,999",24755,150000,160000,155000,6.2613613411432
"849",43,3,"$350,000-$399,999",12486,350000,4e+05,375000,30.0336376741951
"850",23,8,"$190,000-$199,999",24755,190000,2e+05,195000,7.87719652595435
"851",67,2,"$200,000-$249,999",18774,2e+05,250000,225000,11.9846596356663
"853",56,2,"$170,000-$179,999",18774,170000,180000,175000,9.3214019388516
"854",30,1,"$40,000 - $49,999",24755,40000,50000,45000,1.81781458291254
"855",70,2,"$200,000-$249,999",12486,2e+05,250000,225000,18.0201826045171
"856",58,1,"$190,000-$199,999",12486,190000,2e+05,195000,15.6174915905815
"857",34,3,"$150,000-$159,999",29854,150000,160000,155000,5.19193407918537
"858",43,6,"$300,000-$349,999",16072,3e+05,350000,325000,20.2215032354405
"859",36,4,"$150,000-$159,999",16072,150000,160000,155000,9.64410154305625
"860",66,2,"$160,000-$169,999",18774,160000,170000,165000,8.78875039948865
"861",65,3,"$250,000-$299,999",16072,250000,3e+05,275000,17.1105027376804
"862",51,3,"$170,000-$179,999",12486,170000,180000,175000,14.015697581291
"863",29,2,"$150,000-$159,999",12486,150000,160000,155000,12.4139035720006
"864",39,5,"$140,000-$149,999",18774,140000,150000,145000,7.72344732076276
"865",32,2,"$180,000-$189,999",12486,180000,190000,185000,14.8165945859362
"866",84,1,"$180,000-$189,999",29854,180000,190000,185000,6.19682454612447
"867",75,4,"$190,000-$199,999",24755,190000,2e+05,195000,7.87719652595435
"868",42,2,"$150,000-$159,999",18774,150000,160000,155000,8.25609886012571
"869",59,2,"$180,000-$189,999",24755,180000,190000,185000,7.47323772975157
"870",28,1,"$150,000-$159,999",12486,150000,160000,155000,12.4139035720006
"871",45,4,"$190,000-$199,999",24755,190000,2e+05,195000,7.87719652595435
"872",57,4,"$180,000-$189,999",18774,180000,190000,185000,9.85405347821455
"873",63,2,"$180,000-$189,999",18774,180000,190000,185000,9.85405347821455
"874",72,2,"$250,000-$299,999",16072,250000,3e+05,275000,17.1105027376804
"875",71,1,"$250,000-$299,999",16072,250000,3e+05,275000,17.1105027376804
"876",53,5,"$350,000-$399,999",16072,350000,4e+05,375000,23.3325037332006
"877",35,1,"$450,000-$499,999",16072,450000,5e+05,475000,29.5545047287208
"878",62,2,"$150,000-$159,999",16072,150000,160000,155000,9.64410154305625
"879",55,4,"$150,000-$159,999",18774,150000,160000,155000,8.25609886012571
"880",39,4,"$250,000-$299,999",12486,250000,3e+05,275000,22.0246676277431
"881",59,2,"$190,000-$199,999",18774,190000,2e+05,195000,10.3867050175775
"882",63,2,"$150,000-$159,999",16072,150000,160000,155000,9.64410154305625
"883",46,7,"$400,000-$449,999",18774,4e+05,450000,425000,22.6376904229253
"884",23,1,"$400,000-$449,999",18774,4e+05,450000,425000,22.6376904229253
"885",61,2,"$200,000-$249,999",18774,2e+05,250000,225000,11.9846596356663
"886",59,3,"$190,000-$199,999",18774,190000,2e+05,195000,10.3867050175775
"887",42,2,"$150,000-$159,999",16072,150000,160000,155000,9.64410154305625
"888",38,4,"$200,000-$249,999",14507,2e+05,250000,225000,15.5097539119046
"889",50,2,"$200,000-$249,999",18774,2e+05,250000,225000,11.9846596356663
"890",33,3,"$200,000-$249,999",24755,2e+05,250000,225000,9.08907291456272
"891",59,2,"$150,000-$159,999",18774,150000,160000,155000,8.25609886012571
"892",54,1,"$150,000-$159,999",16072,150000,160000,155000,9.64410154305625
"893",43,4,"$150,000-$159,999",12486,150000,160000,155000,12.4139035720006
"894",52,4,"$160,000-$169,999",24755,160000,170000,165000,6.66532013734599
"895",26,3,"$300,000-$349,999",12486,3e+05,350000,325000,26.0291526509691
"896",49,6,"$180,000-$189,999",18774,180000,190000,185000,9.85405347821455
"897",64,2,"$200,000-$249,999",12486,2e+05,250000,225000,18.0201826045171
"898",72,2,"$150,000-$159,999",12486,150000,160000,155000,12.4139035720006
"899",21,7,"$190,000-$199,999",12486,190000,2e+05,195000,15.6174915905815
"900",31,4,"$150,000-$159,999",12486,150000,160000,155000,12.4139035720006
"901",64,1,"$200,000-$249,999",12486,2e+05,250000,225000,18.0201826045171
"902",54,2,"$250,000-$299,999",16072,250000,3e+05,275000,17.1105027376804
"903",44,2,"$180,000-$189,999",16072,180000,190000,185000,11.5107018417123
"904",61,2,"$170,000-$179,999",12486,170000,180000,175000,14.015697581291
"905",44,2,"$170,000-$179,999",24755,170000,180000,175000,7.06927893354878
"906",44,2,"$180,000-$189,999",24755,180000,190000,185000,7.47323772975157
"907",64,3,"$160,000-$169,999",16072,160000,170000,165000,10.2663016426083
"908",24,4,"$150,000-$159,999",16072,150000,160000,155000,9.64410154305625
"909",52,3,"$250,000-$299,999",12486,250000,3e+05,275000,22.0246676277431
"910",50,5,"$250,000-$299,999",12486,250000,3e+05,275000,22.0246676277431
"911",70,1,"$200,000-$249,999",18774,2e+05,250000,225000,11.9846596356663
"912",33,3,"$350,000-$399,999",16072,350000,4e+05,375000,23.3325037332006
"913",46,4,"$180,000-$189,999",18774,180000,190000,185000,9.85405347821455
"914",22,3,"$250,000-$299,999",16072,250000,3e+05,275000,17.1105027376804
"915",61,1,"$150,000-$159,999",24755,150000,160000,155000,6.2613613411432
"916",54,1,"$170,000-$179,999",29854,170000,180000,175000,5.86186105714477
"917",68,2,"$200,000-$249,999",16072,2e+05,250000,225000,13.9995022399204
"918",37,5,"$170,000-$179,999",24755,170000,180000,175000,7.06927893354878
"919",52,4,"$170,000-$179,999",18774,170000,180000,175000,9.3214019388516
"920",72,2,"$200,000-$249,999",18774,2e+05,250000,225000,11.9846596356663
"921",38,2,"$200,000-$249,999",18774,2e+05,250000,225000,11.9846596356663
"922",38,4,"$170,000-$179,999",18774,170000,180000,175000,9.3214019388516
"923",41,7,"$180,000-$189,999",24755,180000,190000,185000,7.47323772975157
"924",68,3,"$200,000-$249,999",18774,2e+05,250000,225000,11.9846596356663
"925",25,4,"$250,000-$299,999",16072,250000,3e+05,275000,17.1105027376804
"926",74,2,"$150,000-$159,999",12486,150000,160000,155000,12.4139035720006
"927",45,4,"$200,000-$249,999",12486,2e+05,250000,225000,18.0201826045171
"928",37,4,"$170,000-$179,999",16072,170000,180000,175000,10.8885017421603
"929",76,2,"$200,000-$249,999",16072,2e+05,250000,225000,13.9995022399204
"930",49,3,"$200,000-$249,999",16072,2e+05,250000,225000,13.9995022399204
"931",44,4,"$150,000-$159,999",16072,150000,160000,155000,9.64410154305625
"932",28,2,"$200,000-$249,999",12486,2e+05,250000,225000,18.0201826045171
"933",18,5,"$180,000-$189,999",18774,180000,190000,185000,9.85405347821455
"934",60,1,"$180,000-$189,999",24755,180000,190000,185000,7.47323772975157
"935",70,2,"$170,000-$179,999",16072,170000,180000,175000,10.8885017421603
"936",66,2,"$200,000-$249,999",44188,2e+05,250000,225000,5.09188014845659
"937",34,2,"$200,000-$249,999",16072,2e+05,250000,225000,13.9995022399204
"938",68,2,"$170,000-$179,999",12486,170000,180000,175000,14.015697581291
"939",70,2,"$150,000-$159,999",16072,150000,160000,155000,9.64410154305625
"940",68,2,"$200,000-$249,999",12486,2e+05,250000,225000,18.0201826045171
"941",75,2,"$160,000-$169,999",12486,160000,170000,165000,13.2148005766458
"942",59,2,"$180,000-$189,999",24755,180000,190000,185000,7.47323772975157
"943",20,5,"$150,000-$159,999",18774,150000,160000,155000,8.25609886012571
"944",28,1,"$150,000-$159,999",16072,150000,160000,155000,9.64410154305625
"945",19,4,"$150,000-$159,999",18774,150000,160000,155000,8.25609886012571
"946",56,2,"$250,000-$299,999",24755,250000,3e+05,275000,11.1088668955767
"947",21,7,"$350,000-$399,999",18774,350000,4e+05,375000,19.9744327261106
"948",45,6,"$250,000-$299,999",16072,250000,3e+05,275000,17.1105027376804
"949",71,2,"$200,000-$249,999",18774,2e+05,250000,225000,11.9846596356663
"950",64,4,"$180,000-$189,999",16072,180000,190000,185000,11.5107018417123
"951",64,2,"$150,000-$159,999",16072,150000,160000,155000,9.64410154305625
"952",38,3,"$200,000-$249,999",12486,2e+05,250000,225000,18.0201826045171
"953",46,8,"$190,000-$199,999",16072,190000,2e+05,195000,12.1329019412643
"954",46,1,"$250,000-$299,999",29854,250000,3e+05,275000,9.21149594694178
"955",43,2,"$200,000-$249,999",16072,2e+05,250000,225000,13.9995022399204
"956",39,2,"$250,000-$299,999",29854,250000,3e+05,275000,9.21149594694178
"957",73,2,"$160,000-$169,999",16072,160000,170000,165000,10.2663016426083
"958",47,4,"$350,000-$399,999",12486,350000,4e+05,375000,30.0336376741951
"959",42,4,"$200,000-$249,999",18774,2e+05,250000,225000,11.9846596356663
"960",19,5,"$250,000-$299,999",18774,250000,3e+05,275000,14.6479173324811
"961",30,6,"$190,000-$199,999",18774,190000,2e+05,195000,10.3867050175775
"962",66,2,"$200,000-$249,999",16072,2e+05,250000,225000,13.9995022399204
"963",53,4,"$150,000-$159,999",12486,150000,160000,155000,12.4139035720006
"964",37,4,"$350,000-$399,999",24755,350000,4e+05,375000,15.1484548576045
"966",53,2,"$190,000-$199,999",18774,190000,2e+05,195000,10.3867050175775
"967",57,2,"$400,000-$449,999",16072,4e+05,450000,425000,26.4435042309607
"968",46,5,"$180,000-$189,999",16072,180000,190000,185000,11.5107018417123
"969",46,4,"$300,000-$349,999",29854,3e+05,350000,325000,10.8863133918403
"970",58,3,"$160,000-$169,999",18774,160000,170000,165000,8.78875039948865
"971",52,4,"$250,000-$299,999",12486,250000,3e+05,275000,22.0246676277431
"972",29,6,"$30,000 - $39,999",18774,30000,40000,35000,1.86428038777032
"973",30,2,"$160,000-$169,999",18774,160000,170000,165000,8.78875039948865
"974",28,5,"$300,000-$349,999",18774,3e+05,350000,325000,17.3111750292958
"975",48,4,"$250,000-$299,999",12486,250000,3e+05,275000,22.0246676277431
"976",37,2,"$180,000-$189,999",24755,180000,190000,185000,7.47323772975157
"977",42,5,"$450,000-$499,999",24755,450000,5e+05,475000,19.1880428196324
"978",30,3,"$170,000-$179,999",24755,170000,180000,175000,7.06927893354878
"979",48,3,"$190,000-$199,999",12486,190000,2e+05,195000,15.6174915905815
"980",20,4,"$150,000-$159,999",18774,150000,160000,155000,8.25609886012571
"981",52,4,"$200,000-$249,999",18774,2e+05,250000,225000,11.9846596356663
"982",19,4,"$200,000-$249,999",12486,2e+05,250000,225000,18.0201826045171
"983",37,6,"$200,000-$249,999",16072,2e+05,250000,225000,13.9995022399204
"984",18,3,"$300,000-$349,999",34337,3e+05,350000,325000,9.46500859131549
"985",18,2,"$150,000-$159,999",18774,150000,160000,155000,8.25609886012571
"986",35,4,"$190,000-$199,999",16072,190000,2e+05,195000,12.1329019412643
"987",58,4,"$200,000-$249,999",24755,2e+05,250000,225000,9.08907291456272
"988",29,1,"$150,000-$159,999",24755,150000,160000,155000,6.2613613411432
"989",29,5,"$190,000-$199,999",29854,190000,2e+05,195000,6.53178803510417
"990",18,6,"$200,000-$249,999",16072,2e+05,250000,225000,13.9995022399204
"992",39,3,"$150,000-$159,999",18774,150000,160000,155000,8.25609886012571
"993",35,4,"$200,000-$249,999",12486,2e+05,250000,225000,18.0201826045171
"994",57,4,"$160,000-$169,999",29854,160000,170000,165000,5.52689756816507
"995",74,2,"$160,000-$169,999",18774,160000,170000,165000,8.78875039948865
"996",40,5,"$190,000-$199,999",16072,190000,2e+05,195000,12.1329019412643
"997",44,4,"$200,000-$249,999",18774,2e+05,250000,225000,11.9846596356663
"998",74,3,"$170,000-$179,999",29854,170000,180000,175000,5.86186105714477
"999",31,1,"$200,000-$249,999",12486,2e+05,250000,225000,18.0201826045171
"1001",40,4,"$140,000-$149,999",16072,140000,150000,145000,9.02190144350423
"1002",58,2,"$190,000-$199,999",16072,190000,2e+05,195000,12.1329019412643
"1004",70,2,"$170,000-$179,999",24755,170000,180000,175000,7.06927893354878
"1005",38,2,"$150,000-$159,999",12486,150000,160000,155000,12.4139035720006
"1006",25,3,"$300,000-$349,999",29854,3e+05,350000,325000,10.8863133918403
"1007",48,3,"$200,000-$249,999",12486,2e+05,250000,225000,18.0201826045171
"1008",37,4,"$200,000-$249,999",12486,2e+05,250000,225000,18.0201826045171
"1010",57,2,"$200,000-$249,999",18774,2e+05,250000,225000,11.9846596356663
"1012",34,1,"$40,000 - $49,999",18774,40000,50000,45000,2.39693192713327
"1013",19,3,"$180,000-$189,999",18774,180000,190000,185000,9.85405347821455
"1014",67,2,"$200,000-$249,999",29854,2e+05,250000,225000,7.53667850204328
"1015",48,3,"$250,000-$299,999",18774,250000,3e+05,275000,14.6479173324811
"1016",50,2,"$250,000-$299,999",18774,250000,3e+05,275000,14.6479173324811
"1017",51,4,"$200,000-$249,999",24755,2e+05,250000,225000,9.08907291456272
"1018",45,2,"$200,000-$249,999",18774,2e+05,250000,225000,11.9846596356663
"1020",36,4,"$300,000-$349,999",18774,3e+05,350000,325000,17.3111750292958
"1021",32,6,"$350,000-$399,999",16072,350000,4e+05,375000,23.3325037332006
"1022",36,4,"$350,000-$399,999",12486,350000,4e+05,375000,30.0336376741951
"1023",44,2,"$250,000-$299,999",24755,250000,3e+05,275000,11.1088668955767
"1024",56,2,"$450,000-$499,999",16072,450000,5e+05,475000,29.5545047287208
"1025",73,2,"$250,000-$299,999",18774,250000,3e+05,275000,14.6479173324811
"1026",36,3,"$350,000-$399,999",16072,350000,4e+05,375000,23.3325037332006
"1027",48,4,"$500,000-$999,999",16072,5e+05,1e+06,750000,46.6650074664012
"1028",73,2,"$500,000-$999,999",16072,5e+05,1e+06,750000,46.6650074664012
"1029",55,2,"$200,000-$249,999",16072,2e+05,250000,225000,13.9995022399204
"1030",55,2,"$350,000-$399,999",12486,350000,4e+05,375000,30.0336376741951
"1031",28,3,"$250,000-$299,999",24755,250000,3e+05,275000,11.1088668955767
"1032",46,1,"$250,000-$299,999",18774,250000,3e+05,275000,14.6479173324811
"1033",61,2,"$250,000-$299,999",18774,250000,3e+05,275000,14.6479173324811
"1034",28,2,"$300,000-$349,999",16072,3e+05,350000,325000,20.2215032354405
"1035",51,3,"$200,000-$249,999",18774,2e+05,250000,225000,11.9846596356663
"1036",56,1,"$500,000-$999,999",18774,5e+05,1e+06,750000,39.9488654522212
"1037",57,1,"$200,000-$249,999",12486,2e+05,250000,225000,18.0201826045171
"1038",44,2,"$250,000-$299,999",18774,250000,3e+05,275000,14.6479173324811
"1039",43,4,"$300,000-$349,999",14507,3e+05,350000,325000,22.4029778727511
"1040",19,4,"$180,000-$189,999",16072,180000,190000,185000,11.5107018417123
"1041",31,7,"$150,000-$159,999",12486,150000,160000,155000,12.4139035720006
"1042",34,6,"$250,000-$299,999",18774,250000,3e+05,275000,14.6479173324811
"1043",30,4,"$60,000 - $69,999",12486,60000,70000,65000,5.20583053019382
"1044",20,4,"$10,000 - $19,999",16072,10000,20000,5000,0.311100049776008
"1045",36,3,"$20,000 - $29,999",29854,20000,30000,25000,0.837408722449253
"1046",47,6,"$70,000 - $79,999",24755,70000,80000,75000,3.02969097152091
"1047",57,2,"$40,000 - $49,999",29854,40000,50000,45000,1.50733570040866
"1048",48,3,"$40,000 - $49,999",12486,40000,50000,45000,3.60403652090341
"1049",34,4,"$90,000 - $99,999",16072,90000,1e+05,95000,5.91090094574415
"1050",45,2,"$80,000 - $89,999",12486,80000,90000,85000,6.80762453948422
"1051",56,3,"$80,000 - $89,999",12486,80000,90000,85000,6.80762453948422
"1052",41,4,"$40,000 - $49,999",29854,40000,50000,45000,1.50733570040866
"1053",65,1,"$10,000 - $19,999",16072,10000,20000,5000,0.311100049776008
"1054",58,3,"$50,000 - $59,999",16072,50000,60000,55000,3.42210054753609
"1055",60,2,"$10,000 - $19,999",12486,10000,20000,5000,0.400448502322601
"1056",69,1,"$10,000 - $19,999",16072,10000,20000,5000,0.311100049776008
"1058",27,2,"$50,000 - $59,999",24755,50000,60000,55000,2.22177337911533
"1059",27,1,"$50,000 - $59,999",12486,50000,60000,55000,4.40493352554861
"1060",35,1,"$40,000 - $49,999",24755,40000,50000,45000,1.81781458291254
"1061",38,6,"$200,000-$249,999",18774,2e+05,250000,225000,11.9846596356663
"1062",23,3,"$170,000-$179,999",16072,170000,180000,175000,10.8885017421603
"1063",54,3,"$120,000-$129,999",18774,120000,130000,125000,6.65814424203686
"1064",42,2,"$140,000-$149,999",24755,140000,150000,145000,5.85740254494042
"1065",33,4,"$300,000-$349,999",12486,3e+05,350000,325000,26.0291526509691
"1066",60,1,"$20,000 - $29,999",12486,20000,30000,25000,2.00224251161301
"1067",45,3,"$60,000 - $69,999",29854,60000,70000,65000,2.17726267836806
"1068",74,2,"$60,000 - $69,999",16072,60000,70000,65000,4.0443006470881
"1069",71,2,"$250,000-$299,999",16072,250000,3e+05,275000,17.1105027376804
"1070",18,5,"$150,000-$159,999",18774,150000,160000,155000,8.25609886012571
"1071",52,1,"$250,000-$299,999",16072,250000,3e+05,275000,17.1105027376804
"1072",27,2,"$200,000-$249,999",12486,2e+05,250000,225000,18.0201826045171
"1073",43,4,"$160,000-$169,999",12486,160000,170000,165000,13.2148005766458
"1075",24,4,"$500,000-$999,999",12486,5e+05,1e+06,750000,60.0672753483902
"1076",25,4,"$350,000-$399,999",29854,350000,4e+05,375000,12.5611308367388
"1077",44,3,"$200,000-$249,999",24755,2e+05,250000,225000,9.08907291456272
"1078",50,6,"$200,000-$249,999",18774,2e+05,250000,225000,11.9846596356663
"1079",61,2,"$170,000-$179,999",24755,170000,180000,175000,7.06927893354878
"1080",36,3,"$180,000-$189,999",12486,180000,190000,185000,14.8165945859362
"1081",59,1,"$200,000-$249,999",24755,2e+05,250000,225000,9.08907291456272
"1082",61,2,"$180,000-$189,999",18774,180000,190000,185000,9.85405347821455
"1083",71,2,"$250,000-$299,999",18774,250000,3e+05,275000,14.6479173324811
"1084",18,4,"$200,000-$249,999",16072,2e+05,250000,225000,13.9995022399204
"1085",19,3,"$250,000-$299,999",16072,250000,3e+05,275000,17.1105027376804
"1086",18,3,"$500,000-$999,999",16072,5e+05,1e+06,750000,46.6650074664012
"1087",50,2,"$300,000-$349,999",16072,3e+05,350000,325000,20.2215032354405
"1088",30,2,"$200,000-$249,999",16072,2e+05,250000,225000,13.9995022399204
"1089",41,4,"$500,000-$999,999",18774,5e+05,1e+06,750000,39.9488654522212
"1090",58,4,"$200,000-$249,999",12486,2e+05,250000,225000,18.0201826045171
"1091",35,4,"$250,000-$299,999",18774,250000,3e+05,275000,14.6479173324811
"1092",19,5,"$200,000-$249,999",16072,2e+05,250000,225000,13.9995022399204
"1094",62,2,"$250,000-$299,999",18774,250000,3e+05,275000,14.6479173324811
"1095",56,2,"$200,000-$249,999",18774,2e+05,250000,225000,11.9846596356663
"1096",43,6,"$200,000-$249,999",18774,2e+05,250000,225000,11.9846596356663
"1097",60,3,"$200,000-$249,999",16072,2e+05,250000,225000,13.9995022399204
"1098",68,2,"$250,000-$299,999",14507,250000,3e+05,275000,18.9563658923278
"1099",43,3,"$200,000-$249,999",18774,2e+05,250000,225000,11.9846596356663
"1100",73,2,"$200,000-$249,999",24755,2e+05,250000,225000,9.08907291456272
